№   Дата/время           Температура  Осадки (мм)
1   2025-05-10T00:00     5.8          0.0       
2   2025-05-10T01:00     5.2          0.0       
3   2025-05-10T02:00     5.0          0.0       
4   2025-05-10T03:00     5.1          0.0       
5   2025-05-10T04:00     5.2          0.0       
6   2025-05-10T05:00     5.7          0.1       
7   2025-05-10T06:00     6.3          0.3       
8   2025-05-10T07:00     6.7          1.3       
9   2025-05-10T08:00     7.0          1.3       
10  2025-05-10T09:00     7.2          2.0       
11  2025-05-10T10:00     7.9          2.5       
12  2025-05-10T11:00     8.5          3.5       
13  2025-05-10T12:00     8.9          3.5       
14  2025-05-10T13:00     9.2          2.8       
15  2025-05-10T14:00     9.5          0.9       
16  2025-05-10T15:00     10.0         0.5       
17  2025-05-10T16:00     9.7          0.6       
18  2025-05-10T17:00     9.8          0.1       
19  2025-05-10T18:00     8.6          0.2       
20  2025-05-10T19:00     5.7          0.0       
21  2025-05-10T20:00     5.0          0.0       
22  2025-05-10T21:00     4.7          0.0       
23  2025-05-10T22:00     4.7          0.0       
24  2025-05-10T23:00     4.8          0.0       
